rank,Country name,score,gdp,social_support,life_expectancy,freedom,generosity,corruption,dystopia
1,Finland,7.736,1.0925125560153657,1.2847620104462263,1.2454500032232299,1.3323279616068213,-0.05758727878040899,3.1189411198088326,0.7921630004476372
2,Denmark,7.521,1.2854734798431653,1.18474838483729,1.2271686278177514,1.1578706679793809,0.6116087671263174,2.9960046666995273,0.3186066859509889
3,Iceland,7.515,1.2194605322178653,1.4476413435807807,1.4693968519403413,1.2479131421096727,1.464833725657394,0.22993447174015394,0.5563434592205614
4,Sweden,7.345,1.1788371798330652,1.0418717768245234,1.5425223535622552,1.1409877040799512,0.946206790079681,2.811599987035569,0.03102187957650643
5,Netherlands,7.306,1.2778566012710155,0.9532882798566084,1.3368568802506222,0.6232434778307735,1.2138852084423715,1.7315154347180992,0.41063382399082343
6,Costa Rica,7.274,0.43999995833451533,0.7618336251195014,0.5873204886260053,1.1184770855473782,-0.7769730281301399,-0.25303016547497464,1.9175782093931129
7,Norway,7.262,1.4809733631950153,1.079019694907843,1.423693413426645,1.1972642504113835,0.9127469877843447,2.4427906277076525,-0.26423185496796225
8,Israel,7.234,0.9554087417166656,1.1704607240360136,1.2454500032232299,-0.052075078146414856,0.5112293602403084,0.40555797618201905,1.0088102212497474
9,Luxembourg,7.122,1.8008822632253154,0.6418172743887773,1.4282637572780146,1.0228069567839437,0.05952202925326826,2.196917721489042,-0.27190078313794847
10,Mexico,6.979,0.29527926546366545,0.4875105377349894,-0.0068242120520450094,0.7301689158604951,-0.9442720396068216,-0.25303016547497464,2.0498672203253747
11,Australia,6.974,1.1382138274482652,0.8961376366515017,1.3231458486965133,0.6063605139313438,0.8458273831936719,1.2134260966145975,0.0847043767664099
12,New Zealand,6.952,0.9630256202888152,1.081877227068098,1.2043169085609031,0.6288711324639168,0.8960170866366765,2.4779153285960254,-0.1894598053105969
13,Switzerland,6.935,1.3997266584254158,0.8246993326451186,1.5151002904540374,0.7864454621919276,0.7119881740123265,2.820381162257662,-0.6170025507873279
14,Belgium,6.91,1.1788371798330652,0.8932801044912461,1.3734196310615792,0.820211389990787,0.09298183154860439,1.397830776278556,-0.11468775565323157
